Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-11-04,APP,630.175,630.54,607.93,608.68,608.68,3704270.0
2025-11-05,APP,610.0,623.78,589.0,617.05,617.05,6042802.0
2025-11-06,APP,651.47,656.3,607.23,621.36,621.36,8418446.0
2025-11-07,APP,614.0,633.59,576.4101,619.93,619.93,6656194.0
2025-11-10,APP,635.95,675.0,635.41,651.32,651.32,4666709.0
2025-11-11,APP,647.4,647.87,583.0,594.91,594.91,7447032.0
2025-11-12,APP,602.0,603.0,578.0,584.86,584.86,4444699.0
2025-11-13,APP,579.44,580.4279,542.48,556.15,556.15,5190940.0
2025-11-14,APP,534.34,570.9912,529.0,557.7,557.7,4173194.0
2025-11-17,APP,554.445,558.94,532.31,539.27,539.27,3908595.0
2025-11-18,APP,533.355,541.8,522.0,526.01,526.01,3927282.0
2025-11-19,APP,530.11,545.26,525.43,530.05,530.05,4006370.0
2025-11-20,APP,554.25,562.56,519.2,520.82,520.82,4432570.0
2025-11-21,APP,521.65,529.98,489.3,520.26,520.26,6031825.0
2025-11-24,APP,525.47,564.8,523.0,559.8,559.8,5008896.0
2025-11-25,APP,555.12,557.77,535.85,556.03,556.03,2757663.0
2025-11-26,APP,565.76,590.54,563.5,586.37,586.37,3435945.0
2025-11-28,APP,589.79,599.59,583.4,599.48,599.48,1825454.0
2025-12-01,APP,588.13,624.73,576.0,623.59,623.59,4544294.0
2025-12-02,APP,632.53,679.7,631.19,653.0,653.0,5199995.0
2025-12-03,APP,654.87,667.09,645.0,662.21,662.21,3000655.0
2025-12-04,APP,671.28,698.47,668.48,683.78,683.78,4971956.0
2025-12-05,APP,687.445,702.3,678.69,691.94,691.94,3510048.0
2025-10-06,AR,33.67,34.26,33.205,33.91,33.91,4169824.0
2025-10-07,AR,33.715,34.34,33.14,33.9,33.9,4322445.0
2025-10-08,AR,33.69,34.275,32.95,34.15,34.15,4193233.0
2025-10-09,AR,34.24,34.6,33.16,33.6,33.6,2787332.0
2025-10-10,AR,33.265,33.85,31.58,31.6,31.6,4132696.0
2025-10-13,AR,32.03,32.51,31.55,32.42,32.42,3489640.0
2025-10-14,AR,31.25,31.77,30.94,31.61,31.61,3817070.0
2025-10-15,AR,31.945,32.69,31.79,32.14,32.14,4224838.0
2025-10-16,AR,32.34,32.46,30.29,30.79,30.79,5182467.0
2025-10-17,AR,30.8,31.05,30.46,30.78,30.78,3339927.0
2025-10-20,AR,31.33,32.17,31.175,31.85,31.85,4708865.0
2025-10-21,AR,31.85,32.98,31.75,32.51,32.51,4100495.0
2025-10-22,AR,32.8,33.16,31.661,32.08,32.08,4095542.0
2025-10-23,AR,32.8,33.01,32.065,32.77,32.77,4052294.0
2025-10-24,AR,32.99,33.04,32.16,32.69,32.69,2567901.0
2025-10-27,AR,32.75,33.06,32.33,32.66,32.66,2771255.0
2025-10-28,AR,32.32,32.38,31.655,31.88,31.88,3446544.0
2025-10-29,AR,31.66,31.9499,31.03,31.62,31.62,4680093.0
2025-10-30,AR,30.635,31.115,29.1,30.03,30.03,10749123.0
2025-10-31,AR,30.68,31.115,30.115,30.91,30.91,6899825.0
2025-11-03,AR,31.52,33.335,31.08,33.14,33.14,7471124.0
2025-11-04,AR,32.575,33.34,32.0,32.93,32.93,5645165.0
2025-11-05,AR,32.8,33.46,32.44,32.83,32.83,4666356.0
2025-11-06,AR,33.29,33.82,32.44,32.63,32.63,4544863.0
2025-11-07,AR,32.47,33.71,32.33,33.65,33.65,4231395.0
2025-11-10,AR,34.29,34.45,33.35,33.85,33.85,4185455.0
2025-11-11,AR,34.3,35.66,34.22,35.2,35.2,5378750.0
2025-11-12,AR,35.14,35.22,34.25,34.46,34.46,5091068.0
2025-11-13,AR,34.8,35.27,34.1103,34.34,34.34,4284249.0
2025-11-14,AR,33.53,34.37,33.06,34.36,34.36,5474745.0
2025-11-17,AR,34.155,34.48,33.309,33.64,33.64,3938666.0
2025-11-18,AR,33.33,34.95,33.05,34.76,34.76,4396359.0
2025-11-19,AR,34.285,35.15,34.15,35.08,35.08,4501571.0
2025-11-20,AR,35.155,35.93,33.27,33.32,33.32,8397952.0
2025-11-21,AR,33.33,33.9,32.6801,33.55,33.55,6002916.0
2025-11-24,AR,33.27,34.65,32.77,34.56,34.56,6363087.0
2025-11-25,AR,34.21,34.32,33.39,34.0,34.0,4472988.0
2025-11-26,AR,34.37,35.69,34.29,35.12,35.12,4698507.0
