Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2025-11-19,APG,37.195,37.745,37.0,37.42,37.42,1710214.0,63.397947548460664,36.61,37.91,False,False
2025-11-20,APG,38.048,38.16,36.6,36.77,36.77,3144184.0,49.67405475880054,36.61,37.91,False,True
2025-11-21,APG,36.78,37.17,36.1,36.86,36.86,2216836.0,58.03571428571427,36.6,38.16,False,False
2025-11-24,APG,36.82,37.96,36.82,37.71,37.71,2270190.0,65.78947368421055,36.1,38.16,False,False
2025-11-25,APG,37.9,39.05,37.46,38.97,38.97,3759491.0,67.19787516600265,36.1,38.16,False,False
2025-11-26,APG,39.0,39.58,38.99,39.23,39.23,1870474.0,71.12299465240642,36.1,39.05,False,False
2025-11-28,APG,39.29,39.65,39.23,39.56,39.56,838040.0,71.69069462647447,36.82,39.58,False,False
2025-12-01,APG,39.08,39.52,38.79,38.98,38.98,2314064.0,59.8828696925329,37.46,39.65,False,False
2025-12-02,APG,39.02,39.25,38.54,38.84,38.84,1574437.0,59.53420669577878,38.79,39.65,False,False
2025-12-03,APG,38.75,39.05,38.31,38.74,38.74,1759655.0,53.094462540716634,38.54,39.65,False,False
2025-12-04,APG,38.68,39.01,38.43,39.0,39.0,1623646.0,63.19569120287254,38.31,39.52,True,False
2025-10-27,APP,634.25,645.7,620.73,643.1,643.1,3765138.0,52.33006089225798,553.24,627.11,False,False
2025-10-28,APP,643.99,649.6474,620.87,626.82,626.82,2545057.0,49.43648743836581,560.84,645.7,False,True
2025-10-29,APP,627.41,633.755,617.2,631.2,631.2,3014722.0,56.697319337208285,605.5001,649.6474,False,False
2025-10-30,APP,622.95,638.38,619.75,620.62,620.62,3560160.0,62.03901466609711,617.2,649.6474,False,False
2025-10-31,APP,621.56,652.87,621.56,637.33,637.33,4312142.0,61.3958876339415,617.2,649.6474,False,False
2025-11-03,APP,646.985,654.9,620.6,632.14,632.14,3255018.0,59.91803664798153,617.2,652.87,False,False
2025-11-04,APP,630.175,630.54,607.93,608.68,608.68,3704270.0,51.427420798281716,619.75,654.9,False,False
2025-11-05,APP,610.0,623.78,589.0,617.05,617.05,6042802.0,52.48829167943275,607.93,654.9,False,False
2025-11-06,APP,651.47,656.3,607.23,621.36,621.36,8418446.0,54.86948456340268,589.0,654.9,False,False
2025-11-07,APP,614.0,633.59,576.4101,619.93,619.93,6656194.0,63.88131845528868,589.0,656.3,False,False
2025-11-10,APP,635.95,675.0,635.41,651.32,651.32,4666709.0,73.21226947685356,576.4101,656.3,False,False
2025-11-11,APP,647.4,647.87,583.0,594.91,594.91,7447032.0,55.85887300907354,576.4101,675.0,False,False
2025-11-12,APP,602.0,603.0,578.0,584.86,584.86,4444699.0,48.99983468341873,576.4101,675.0,False,False
2025-11-13,APP,579.44,580.4279,542.48,556.15,556.15,5190940.0,36.7183924782627,578.0,675.0,False,False
2025-11-14,APP,534.34,570.9912,529.0,557.7,557.7,4173194.0,30.48624440179148,542.48,647.87,False,False
2025-11-17,APP,554.445,558.94,532.31,539.27,539.27,3908595.0,30.18961850024894,529.0,603.0,False,False
